iter	Passed	Remaining
0	99	9819
1	193	9479
2	281	9098
3	372	8928
4	481	9154
5	562	8809
6	653	8687
7	739	8506
8	822	8318
9	891	8020
10	986	7982
11	1084	7956
12	1184	7929
13	1268	7789
14	1366	7742
15	1448	7603
16	1533	7487
17	1614	7353
18	1699	7244
19	1773	7092
20	1860	7000
21	1962	6957
22	2054	6879
23	2151	6811
24	2253	6760
25	2348	6683
26	2427	6564
27	2517	6473
28	2613	6399
29	2693	6285
30	2782	6192
31	2850	6057
32	2927	5944
33	3016	5855
34	3095	5749
35	3176	5646
36	3256	5545
37	3348	5462
38	3432	5369
39	3535	5303
40	3614	5201
41	3700	5109
42	3788	5021
43	3861	4915
44	3931	4804
45	4020	4719
46	4112	4637
47	4193	4542
48	4292	4467
49	4388	4388
50	4475	4299
51	4538	4189
52	4614	4091
53	4703	4006
54	4795	3923
55	4879	3833
56	4941	3727
57	5012	3629
58	5109	3550
59	5178	3452
60	5241	3351
61	5300	3248
62	5360	3148
63	5434	3056
64	5503	2963
65	5571	2870
66	5636	2776
67	5701	2682
68	5764	2589
69	5844	2504
70	5917	2417
71	5979	2325
72	6039	2233
73	6099	2143
74	6155	2051
75	6216	1963
76	6282	1876
77	6347	1790
78	6410	1704
79	6477	1619
80	6539	1533
81	6599	1448
82	6662	1364
83	6730	1282
84	6796	1199
85	6858	1116
86	6919	1033
87	6983	952
88	7040	870
89	7101	789
90	7162	708
91	7252	630
92	7315	550
93	7378	470
94	7450	392
95	7510	312
96	7569	234
97	7632	155
98	7708	77
99	7772	0
