owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value
2418219,2020-02-11 00:00:00,,56091,Minnesota,7-USA Balance,,847.00
2418727,2020-03-12 00:00:00,,19124,Pennsylvania,1-Philadelphia City (20 mi.),,820.00
2417469,2020-01-07 00:00:00,,19709,Delaware,2-Greater Philadelphia(70 mi.),,820.00
2416844,2020-03-31 00:00:00,2020-03-31 00:00:00,086482583,New Jersey,2-Greater Philadelphia(70 mi.),4,736.00
2417418,2020-01-02 00:00:00,,11747,New York,5-NEC (140 mi. from Philly),,706.00
54327,2020-02-14 00:00:00,,080035132,New Jersey,1-Philadelphia City (20 mi.),,676.00
2417950,2020-01-29 00:00:00,,19348,Pennsylvania,2-Greater Philadelphia(70 mi.),,676.00
2418138,2020-02-04 00:00:00,,972052368,Oregon,7-USA Balance,,675.00
2418525,2020-02-29 00:00:00,,55419,Minnesota,7-USA Balance,,618.00
2417503,2020-01-08 00:00:00,2020-04-01 00:00:00,19810,Delaware,2-Greater Philadelphia(70 mi.),,616.00
2419118,2020-06-15 00:00:00,,19041,Pennsylvania,1-Philadelphia City (20 mi.),,600.00
2418419,2020-02-25 00:00:00,2020-03-24 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),,598.00
2418669,2020-03-09 00:00:00,2020-04-06 00:00:00,19317,,8-Foreign,,598.00
2418531,2020-02-29 00:00:00,,19348,Pennsylvania,2-Greater Philadelphia(70 mi.),,598.00
2417879,2020-01-27 00:00:00,,19438,Pennsylvania,2-Greater Philadelphia(70 mi.),,598.00
2418658,2020-03-06 00:00:00,,21005,Maryland,2-Greater Philadelphia(70 mi.),,598.00
2417673,2020-01-18 00:00:00,,20906,Maryland,4-DC (20 mi.),,580.00
2418320,2020-02-19 00:00:00,2020-04-09 00:00:00,08043,New Jersey,1-Philadelphia City (20 mi.),,550.00
2418554,2020-03-02 00:00:00,,18249,Pennsylvania,5-NEC (140 mi. from Philly),,550.00
2419196,2020-07-17 00:00:00,,19373,Pennsylvania,1-Philadelphia City (20 mi.),,550.00
592126,2020-01-14 00:00:00,2020-03-24 00:00:00,194262583,Pennsylvania,2-Greater Philadelphia(70 mi.),,540.00
2417644,2020-01-16 00:00:00,,93023,California,7-USA Balance,,540.00
2418489,2020-02-27 00:00:00,,50010,Iowa,7-USA Balance,,532.00
2418132,2020-02-04 00:00:00,,19094,Pennsylvania,1-Philadelphia City (20 mi.),,510.00
2418114,2020-02-02 00:00:00,2020-03-26 00:00:00,19103,Pennsylvania,1-Philadelphia City (20 mi.),,510.00
2414229,2020-01-31 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),,510.00
2418073,2020-01-31 00:00:00,2020-01-31 00:00:00,19355,Pennsylvania,2-Greater Philadelphia(70 mi.),,510.00
2418149,2020-02-05 00:00:00,,19087,Pennsylvania,1-Philadelphia City (20 mi.),,507.00
2418478,2020-02-27 00:00:00,,01845,Massachusetts,7-USA Balance,,495.00
2417518,2020-01-10 00:00:00,2020-05-21 00:00:00,08505,New Jersey,2-Greater Philadelphia(70 mi.),2,495.00
2417511,2020-01-09 00:00:00,,19123,Pennsylvania,1-Philadelphia City (20 mi.),,480.00
2417678,2020-01-18 00:00:00,,08053,New Jersey,1-Philadelphia City (20 mi.),,477.00
2418013,2020-01-31 00:00:00,,19130,Pennsylvania,1-Philadelphia City (20 mi.),,476.00
2418574,2020-03-03 00:00:00,,43054,Ohio,7-USA Balance,,462.00
2418212,2020-02-10 00:00:00,2020-02-10 00:00:00,19063,Pennsylvania,1-Philadelphia City (20 mi.),,458.00
2417424,2020-01-03 00:00:00,,19073,Pennsylvania,1-Philadelphia City (20 mi.),,458.00
2418668,2020-03-07 00:00:00,2020-03-07 00:00:00,29205,South Carolina,7-USA Balance,,448.00
2417669,2020-01-18 00:00:00,,080559639,New Jersey,1-Philadelphia City (20 mi.),,438.00
2417962,2020-01-29 00:00:00,,19004,Pennsylvania,1-Philadelphia City (20 mi.),,438.00
2418372,2020-02-21 00:00:00,,19096,Pennsylvania,1-Philadelphia City (20 mi.),,436.00
2418237,2020-02-13 00:00:00,,60661,Illinois,7-USA Balance,,434.00
2417549,2020-01-11 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),,420.00
2418588,2020-03-05 00:00:00,,08618,New Jersey,2-Greater Philadelphia(70 mi.),,410.00
2417450,2020-01-05 00:00:00,2020-01-05 00:00:00,19085,Pennsylvania,1-Philadelphia City (20 mi.),U,410.00
2417898,2020-01-28 00:00:00,2020-05-31 00:00:00,19119,Pennsylvania,1-Philadelphia City (20 mi.),4,410.00
2417698,2020-01-19 00:00:00,,08057,New Jersey,1-Philadelphia City (20 mi.),,405.00
2417504,2020-01-08 00:00:00,,19008,Pennsylvania,1-Philadelphia City (20 mi.),,405.00
2418512,2020-02-28 00:00:00,,10025,New York,3-New York City (20 mi.),,400.00
2418526,2020-02-29 00:00:00,,19003,Pennsylvania,1-Philadelphia City (20 mi.),,400.00
2419122,2020-06-16 00:00:00,,19081,Pennsylvania,1-Philadelphia City (20 mi.),,400.00
2419133,2020-06-15 00:00:00,,19102,Pennsylvania,1-Philadelphia City (20 mi.),,400.00
