owner_no,First Order Date,First Contribution Date,postal_code,state_desc,geo_area_desc,OP Prelim Capacity,LTV Tkt Value,Lifetime Giving
2280536,2015-01-01 00:00:00,,08807,New Jersey,2-Greater Philadelphia(70 mi.),,258.00,
2280550,2015-01-01 00:00:00,,18974,Pennsylvania,1-Philadelphia City (20 mi.),,153.00,
2280469,2015-01-01 00:00:00,,190068506,Pennsylvania,1-Philadelphia City (20 mi.),3,210.00,
2269456,2015-01-01 00:00:00,,19403,Pennsylvania,1-Philadelphia City (20 mi.),4,281.00,
2280674,2015-01-02 00:00:00,,28210,North Carolina,7-USA Balance,3,258.00,
2280964,2015-01-03 00:00:00,,10021,New York,3-New York City (20 mi.),,159.00,
2281060,2015-01-03 00:00:00,,21201,Maryland,5-NEC (140 mi. from Philly),4,149.00,
2280984,2015-01-03 00:00:00,,48103,Michigan,7-USA Balance,5,258.00,
165724,2015-01-04 00:00:00,,189014022,Pennsylvania,2-Greater Philadelphia(70 mi.),4,387.00,
2281111,2015-01-04 00:00:00,,19146,Pennsylvania,1-Philadelphia City (20 mi.),4,338.00,
2279664,2015-01-04 00:00:00,,19464,Pennsylvania,2-Greater Philadelphia(70 mi.),3,281.00,
2281207,2015-01-04 00:00:00,,30643,Georgia,7-USA Balance,4,149.00,
2281177,2015-01-04 00:00:00,2020-05-05 00:00:00,445052216,Ohio,7-USA Balance,3,2901.00,$200
389987,2015-01-05 00:00:00,,080344017,New Jersey,1-Philadelphia City (20 mi.),3,0.00,
1890229,2015-01-05 00:00:00,,19122,Pennsylvania,1-Philadelphia City (20 mi.),,0.00,
2281498,2015-01-05 00:00:00,2018-04-15 00:00:00,20906,Maryland,4-DC (20 mi.),3,2023.00,$467
99140,2015-01-06 00:00:00,,080032630,New Jersey,1-Philadelphia City (20 mi.),4,318.00,
527187,2015-01-06 00:00:00,,081081524,New Jersey,1-Philadelphia City (20 mi.),3,396.00,
2281792,2015-01-06 00:00:00,,11105,New York,3-New York City (20 mi.),4,238.00,
1886389,2015-01-06 00:00:00,,190874412,Pennsylvania,1-Philadelphia City (20 mi.),,318.00,
2281734,2015-01-06 00:00:00,,19139,Pennsylvania,1-Philadelphia City (20 mi.),,130.00,
2269791,2015-01-06 00:00:00,,19147,Pennsylvania,1-Philadelphia City (20 mi.),1,170.00,
2281623,2015-01-06 00:00:00,,48103,Michigan,7-USA Balance,5,358.00,
2282042,2015-01-07 00:00:00,,19106,Pennsylvania,1-Philadelphia City (20 mi.),3,80.00,
471861,2015-01-07 00:00:00,,193558725,Pennsylvania,2-Greater Philadelphia(70 mi.),6,258.00,
1927777,2015-01-07 00:00:00,,19802,Delaware,2-Greater Philadelphia(70 mi.),4,138.00,
502850,2015-01-08 00:00:00,,06079,Connecticut,6-NEC (210 mi. from Philly),U,478.00,
