owner_no,order_dt,Count of order_no,channel_desc,MOS_desc,delivery_desc,tot_ticket_paid_amt,tot_contribution_paid_amt,facility_desc,prod_season_desc,num_seats_pur
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,Academy of Music,Don Carlo,2
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,Academy of Music,Oscar,2
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,Academy of Music,The Barber of Seville,2
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,General Admission,40th Anniversary Voucher,2
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,Perelman,Ariadne auf Naxos,2
18251,2014-04-24 00:00:00,1,Phone,Ticketing,OP - US Mail,$1044,$6000,Perelman,Charlie Parker's YARDBIRD,2
18319,2014-05-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$613,$5000,Academy of Music,Don Carlo,2
18319,2014-05-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$613,$5000,Academy of Music,The Barber of Seville,2
18319,2014-05-23 00:00:00,1,Phone,Ticketing,OP - US Mail,$613,$5000,Perelman,Charlie Parker's YARDBIRD,2
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,Academy of Music,Don Carlo,4
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,Academy of Music,Oscar,4
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,Academy of Music,The Barber of Seville,4
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,General Admission,40th Anniversary Voucher,2
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,Perelman,Ariadne auf Naxos,2
39800,2014-03-11 00:00:00,1,Mail,Ticketing,OP - US Mail,$2958,$5000,Perelman,Charlie Parker's YARDBIRD,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,Academy of Music,Don Carlo,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,Academy of Music,Oscar,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,Academy of Music,The Barber of Seville,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,General Admission,40th Anniversary Voucher,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,Perelman,Ariadne auf Naxos,2
170213,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1014,$5000,Perelman,Charlie Parker's YARDBIRD,2
971124,2014-04-04 00:00:00,1,Mail,Ticketing,OP - US Mail,$780,$3000,Academy of Music,Don Carlo,2
971124,2014-04-04 00:00:00,1,Mail,Ticketing,OP - US Mail,$780,$3000,Academy of Music,Oscar,2
971124,2014-04-04 00:00:00,1,Mail,Ticketing,OP - US Mail,$780,$3000,Academy of Music,The Barber of Seville,2
971610,2014-04-03 00:00:00,1,Mail,Ticketing,OP - US Mail,$762,$3000,Academy of Music,Don Carlo,2
971610,2014-04-03 00:00:00,1,Mail,Ticketing,OP - US Mail,$762,$3000,Academy of Music,Oscar,2
971610,2014-04-03 00:00:00,1,Mail,Ticketing,OP - US Mail,$762,$3000,Academy of Music,The Barber of Seville,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,Academy of Music,Don Carlo,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,Academy of Music,Oscar,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,Academy of Music,The Barber of Seville,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,General Admission,40th Anniversary Voucher,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,Perelman,Ariadne auf Naxos,2
971916,2014-04-01 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$3000,Perelman,Charlie Parker's YARDBIRD,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,Academy of Music,Don Carlo,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,Academy of Music,Oscar,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,Academy of Music,The Barber of Seville,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,General Admission,40th Anniversary Voucher,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,Perelman,Ariadne auf Naxos,2
200933,2014-03-18 00:00:00,1,Mail,Ticketing,OP - US Mail,$486,$2900,Perelman,Charlie Parker's YARDBIRD,2
970855,2014-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$762,$2750,Academy of Music,Don Carlo,2
970855,2014-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$762,$2750,Academy of Music,Oscar,2
970855,2014-04-14 00:00:00,1,Phone,Ticketing,OP - US Mail,$762,$2750,Academy of Music,The Barber of Seville,2
971684,2014-03-13 00:00:00,1,Phone,Ticketing,OP - US Mail,$516,$2500,Academy of Music,Don Carlo,2
971684,2014-03-13 00:00:00,1,Phone,Ticketing,OP - US Mail,$516,$2500,Academy of Music,Oscar,2
971684,2014-03-13 00:00:00,1,Phone,Ticketing,OP - US Mail,$516,$2500,Academy of Music,The Barber of Seville,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,Academy of Music,Don Carlo,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,Academy of Music,Oscar,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,Academy of Music,The Barber of Seville,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,General Admission,40th Anniversary Voucher,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,Perelman,Ariadne auf Naxos,2
294,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$1668,$2000,Perelman,Charlie Parker's YARDBIRD,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,Academy of Music,Don Carlo,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,Academy of Music,Oscar,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,Academy of Music,The Barber of Seville,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,General Admission,40th Anniversary Voucher,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,Perelman,Ariadne auf Naxos,2
9057,2014-03-10 00:00:00,1,Phone,Ticketing,OP - US Mail,$894,$2000,Perelman,Charlie Parker's YARDBIRD,2
11647,2014-04-22 00:00:00,1,Phone,Ticketing,OP - US Mail,$2580,$2000,Academy of Music,Don Carlo,4
11647,2014-04-22 00:00:00,1,Phone,Ticketing,OP - US Mail,$2580,$2000,Academy of Music,Oscar,4
11647,2014-04-22 00:00:00,1,Phone,Ticketing,OP - US Mail,$2580,$2000,Academy of Music,The Barber of Seville,4
15242,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1290,$2000,Academy of Music,Don Carlo,2
15242,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1290,$2000,Academy of Music,Oscar,2
15242,2014-03-19 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1290,$2000,Academy of Music,The Barber of Seville,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,Academy of Music,Don Carlo,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,Academy of Music,Oscar,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,Academy of Music,The Barber of Seville,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,General Admission,40th Anniversary Voucher,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,Perelman,Ariadne auf Naxos,2
971630,2014-05-07 00:00:00,1,Phone,Ticketing,OP - US Mail,$1140,$2000,Perelman,Charlie Parker's YARDBIRD,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,Academy of Music,Don Carlo,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,Academy of Music,Oscar,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,Academy of Music,The Barber of Seville,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,General Admission,40th Anniversary Voucher,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,Perelman,Ariadne auf Naxos,2
2357180,2014-03-16 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$1668,$2000,Perelman,Charlie Parker's YARDBIRD,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,Academy of Music,Don Carlo,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,Academy of Music,Oscar,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,Academy of Music,The Barber of Seville,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,General Admission,40th Anniversary Voucher,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,Perelman,Ariadne auf Naxos,2
78281,2014-03-12 00:00:00,1,Mail,Ticketing,OP - US Mail,$864,$1600,Perelman,Charlie Parker's YARDBIRD,2
17339,2014-03-18 00:00:00,1,Web,Ticketing Web Subs,OP - US Mail,$516,$1500,Academy of Music,Don Carlo,2
