iter	Passed	Remaining
0	80	40207
1	165	41284
2	245	40653
3	319	39639
4	402	39877
5	486	40038
6	567	39951
7	648	39859
8	738	40284
9	814	39904
10	888	39511
11	971	39515
12	1050	39357
13	1127	39142
14	1196	38681
15	1275	38591
16	1353	38451
17	1438	38523
18	1504	38096
19	1573	37760
20	1640	37428
21	1736	37732
22	1805	37437
23	1878	37250
24	1952	37089
25	2018	36805
26	2092	36663
27	2156	36356
28	2235	36305
29	2326	36455
30	2406	36401
31	2491	36435
32	2570	36377
33	2651	36338
34	2746	36489
35	2825	36421
36	2899	36286
37	2967	36076
38	3042	35961
39	3107	35739
40	3174	35538
41	3245	35392
42	3314	35226
43	3388	35119
44	3459	34983
45	3538	34921
46	3607	34768
47	3702	34863
48	3774	34741
49	3838	34545
50	3916	34480
51	3990	34381
52	4063	34270
53	4133	34137
54	4209	34057
55	4275	33899
56	4344	33764
57	4414	33645
58	4487	33540
59	4565	33483
60	4633	33348
61	4716	33319
62	4781	33165
63	4846	33015
64	4921	32938
65	4995	32848
66	5064	32730
67	5134	32618
68	5215	32577
69	5289	32492
70	5361	32397
71	5440	32342
72	5505	32200
73	5579	32118
74	5636	31939
75	5724	31935
76	5770	31700
77	5833	31562
78	5903	31458
79	5962	31300
80	6015	31117
81	6070	30942
82	6124	30771
83	6181	30614
84	6237	30455
85	6291	30288
86	6345	30124
87	6402	29975
88	6457	29822
89	6512	29667
90	6567	29517
91	6626	29386
92	6697	29309
93	6753	29167
94	6809	29030
95	6863	28884
96	6917	28741
97	6980	28635
98	7036	28501
99	7090	28360
100	7145	28229
101	7199	28093
102	7254	27961
103	7308	27828
104	7362	27697
105	7418	27573
106	7473	27448
107	7527	27321
108	7583	27201
109	7643	27099
110	7713	27033
111	7768	26912
112	7832	26824
113	7906	26772
114	7989	26746
115	8035	26600
116	8095	26500
117	8147	26377
118	8200	26256
119	8252	26133
120	8301	26003
121	8352	25879
122	8406	25766
123	8456	25642
124	8508	25525
125	8560	25410
126	8614	25302
127	8693	25264
128	8749	25164
129	8804	25057
130	8855	24945
131	8907	24832
132	8962	24730
133	9015	24623
134	9066	24512
135	9118	24405
136	9171	24300
137	9224	24197
138	9275	24090
139	9327	23984
140	9378	23878
141	9431	23777
142	9482	23672
143	9534	23570
144	9588	23474
145	9651	23401
146	9709	23316
147	9762	23217
148	9818	23130
149	9870	23030
150	9922	22932
151	9978	22845
152	10030	22748
153	10081	22649
154	10133	22554
155	10185	22460
156	10236	22364
157	10288	22269
158	10339	22175
159	10391	22082
160	10443	21989
161	10495	21897
162	10547	21805
163	10598	21714
164	10666	21656
165	10723	21575
166	10776	21488
167	10827	21397
168	10878	21306
169	10932	21221
170	10988	21141
171	11043	21060
172	11107	20994
173	11174	20936
174	11238	20871
175	11292	20788
176	11343	20700
177	11396	20616
178	11448	20529
179	11501	20447
180	11553	20362
181	11608	20282
182	11681	20234
183	11734	20152
184	11788	20071
185	11840	19988
186	11893	19907
187	11944	19822
188	11995	19739
189	12051	19662
190	12102	19579
191	12154	19497
192	12207	19418
193	12260	19338
194	12332	19289
195	12407	19244
196	12481	19198
197	12543	19131
198	12596	19053
199	12663	18995
200	12726	18931
201	12780	18854
202	12832	18775
203	12884	18695
204	12938	18618
205	12989	18538
206	13041	18460
207	13097	18387
208	13151	18311
209	13203	18233
210	13256	18156
211	13307	18078
212	13361	18003
213	13413	17926
214	13465	17850
215	13517	17773
